Chunk 7 sent to API:
ID000600 边境劫掠者
ID000631 乌古斯骑兵是优秀的侦察兵与突击手，他们远赴伊比利亚地区，为一切出得起价钱的雇主卖命。
ID000632 阿布纳
ID000633 我们千锤百炼的战士能在长矛与大刀下稳步推进，他们熟练地使用短矛与标枪，杀死任何敢于正面来犯的敌人。超强的纪律性使得他们丝毫不惧贴身肉搏，他们手中的短剑和匕首将给予敌人致命一击。
ID000634 古拉姆重骑兵
ID000635 这些常年战斗在一线的重装奴隶骑兵既忠诚又强大，他们以悍不畏死的战斗风格而闻名于世。
ID000636 古拉姆重骑兵
ID000637 这些常年战斗在一线的重装奴隶骑兵既忠诚又强大，他们以悍不畏死的战斗风格而闻名于世。
ID000638 库尔德掷矛手
ID000639 这些古老的山间战士能用简易的投矛对敌人造成大量伤害。
ID000640 伊克塔剑士
ID000641 穆斯林统治者征募的青壮年战士，用于维护地区秩序。
ID000642 古扎特圣战志愿军
ID000643 狂热的宗教战军，一切异端都将被碾为齑粉。
ID000644 奴隶战士
ID000645 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰。
ID000646 奴隶战士
ID000647 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000648 奴隶战士
ID000649 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000650 奴隶战士
ID000651 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000652 奴隶战士
ID000653 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000654 凯尔特人
ID000655 凯尔特人为上古欧洲一个由共同语言和文化传统凝合起来的松散族群，属古代型民族集团。他们一次又一次的反抗侵略，不屈服于外来者，仿佛这一切就刻在他们骨子里。
ID000656 盎格鲁—撒克逊精选民兵
ID000657 早先在迁徙和定居期间的混乱时期战争是由少量的亲卫军战士主导的，而到了8世纪，盎格鲁—撒克逊人的领袖们已经有了自己的既定王国。所以从某种意义上说，需要付出更大的后勤努力来保护自己的土地和进行战争。作为一种解决方案，盎格鲁-撒克逊人开始实施所谓的“选拔的自由民兵（select fyrd）”。
ID000658 组织亲卫
ID000659 在日耳曼人大规模迁徙到英国的混乱领域时，部落首领和国王们会召集他们选拔出来的强大战士，这些人拥有最好的武器与装备，同时他们也是国王和王公们的家兵，要为战争进行专门的训练。
ID000660 威尔士长弓
ID000661 威尔士长弓的材料选用紫杉木进行制作，这种木材重量较轻而且弹性极佳，这让长弓的杀伤力十分惊人。
ID000662 投石索
ID000663 投石索是人类文明的活化石，快速飞出的石块甚至能击倒一头野牛。将它用于战争亦能发挥很大作用。
ID000664 高地氏族
ID000665 苏格兰北部高地上生活着大量彪悍的高地氏族，他们保留着原始的凯尔特生活方式以及部落联盟制度，他们是天生的战士，呼啸于群山之间。
ID000666 雇佣外乡勇士
ID000667 苏格兰北部高地的盖尔人凶悍无比，他们是无可匹敌的战斗狂热分子，并且乐于为金钱卖命。最重要的是他们几乎不掺和我们本地的政治斗争，只要价钱合适，他们就会乖乖听话。
ID000668 勇士之家
ID000669 苏格兰北部高地自古以来就是盖尔人的家园，我们的勇士很乐意为家国而战。
ID000670 面包与蜜酒
ID000671 领主将面包分给他的追随者，象征着领主和他的战士之间的联系与忠诚。当然，即使在隐藏的意义和象征意义之外，这些娱乐活动更多的时候也是作为一种磨合练习，高级军人之间以更自由的语气进行交流，从而在实战中更好地规划和协调。
ID000672 温彻斯特之书
ID000673 温彻斯特之书也被称为末日审判书，是一本英格兰全国土地调查情况的汇编。目的在于了解王田及国王的直接封臣的地产情况，以便收取租税，加强财政管理，并确定封臣的封建义务。
ID000674 征服者姿态
ID000675 我们征服了不列颠群岛，这些土著理应效忠于我。
ID000676 阿莫利卡
ID000677 我们是日耳曼大迁徙时期被迫流亡至此的海岛凯尔特人，罗马人称此地为
ID000678 伊比利亚城市民兵
ID000679 伊比利亚城市民兵在中世纪中期所起的作用值得重视，诞生于边境纷争的地方民兵为半岛上的君主们效力，一旦遇到各种紧迫的形势，他们可以迅速扩充自己的实力，无论在军事上还是在经济上，亦或是在制约地方贵族势力上，城市民兵都可以给国王的决策提供更多的灵活性。
ID000680 西班牙大乡绅
ID000681 随着伊比利亚地区的逐渐解放，我们将土地保有权赐予手下忠诚的领主并免除其一部分赋税，他们则负责提供接下来一系列光复战争所需的骑兵部队。
ID000682 土地授予
ID000683 收复失地运动如火如荼的展开，我们需要大量的士兵才能长久的压制住那些异教徒，只要能给出大量的征召兵，非贵族也能获得一定的土地。
ID000684 西哥特战法
ID000685 我们继承了西哥特时期的作战方式，以骑兵部队为主力，着眼于马上战斗的精通。
ID000686 加泰罗尼亚雇佣兵
ID000687 收复失地运动的军事需求刺激了伊比利亚地区精锐步兵的形成，我们的战士在战后并不打算就此隐没，他们结成一支又一支的战团以雇佣兵的形式继续活跃于世界各处大大小小的战场之上。
ID000688 西班牙大方阵
ID000689 为了巩固伊比利亚陆上霸权，我们必须进行一场步兵革命，历史已经证明————组织严密的步兵战法完全可以胜任所有战场环境。
ID000690 西班牙方阵枪兵
ID000691 借助长而密集的枪阵和严密配合的战法，我们的军队在陆上无人能挡！
ID000692 西班牙圆盾剑士
ID000693 优质的钢盾和长剑组成了这支军队的獠牙，凭借长枪手的掩护，他们能够迅速给敌方枪阵撕开一个缺口，刹那间扭转战局。
ID000694 双手剑士
ID000695 挥舞着巨剑的精锐步兵，凭借其高超的剑术能很快将敌方枪阵撕开一个口子。
ID000696 王公卫士
ID000697 王公贵族的贴身护卫，由身经百战的国土佣仆老兵组成，战斗力惊人。
ID000698 旧瑞士山民
ID000699 严酷的生存环境和长久的外敌入侵让这片土地上的居民随时准备战斗以捍卫自己的生存。

