 death_shihao.000.e1:0 "神明俨翼，威仪悉备，谥曰钦！"
 death_shihao.001.f1:0 "先帝慈民爱物，协时肇享，谥曰文圣武睿哲明孝！"
 death_shihao.001.g1:0 "先帝深思远虑，绥柔士民，谥曰玄真大圣大兴孝！"
 death_shihao.001.h1:0 "先帝疏远继位，秉德不回，谥曰洪仁大孝！"
 death_shihao.001.i1:0 "先帝治民无为，民无能名，谥曰绍天法古钦仁圣孝！"
 death_shihao.001.j1:0 "先帝备道全美，扬善赋简，谥曰文武睿哲功德大成！"
 death_shihao.001.k1:0 "先帝承命不迁，兵甲亟作，谥曰孝和庄宪！"
 death_shihao.001.l1:0 "先帝大省兆民，追悔前过，谥曰安乐！"
 death_shihao.001.m1:0 "先帝温良好乐，慈和遍服，谥曰至德弘道大圣大安孝！"
 death_shihao.001.n1:0 "先帝正己摄下，执心决断，谥曰文明武德大圣大宣孝！"
 death_shihao.001.o1:0 "先帝克启行禩，靖民则法，谥曰神功圣德文武！"
 death_shihao.001.p1:0 "先帝猛以刚果，强义执正，谥曰圣神恭肃文武！"
 death_shihao.001.q1:0 "先帝帝德运广，经纬天地，谥曰元圣昭献孝！"
 death_shihao.001.r1:0 "先帝威强恢远，夸志多穷，谥曰至道昭肃孝！"
 death_shihao.001.s1:0 "先帝隆称赫奕，柔德安众，谥曰庄靖孝成！"
 death_shihao.001.t1:0 "先帝有功安人，敏以敬慎，谥曰靖穆庄勤！"
 death_shihao.001.u1:0 "先帝恭慎无过，小心畏忌，谥曰惠圣恭定孝！"
 death_shihao.001.v1:0 "先帝受禄于天，慈惠爱亲，谥曰光圣仁孝！"
 death_shihao.001.w1:0 "先帝圣善周达，博闻多能，谥曰昭文章武大圣至神孝！"
 death_shihao.001.x1:0 "先帝惠而内德，知质有圣，谥曰恭检敬文！"
 death_shihao.001.y1:0 "先帝辟地有德，甲胄有劳，谥曰武惠敬穆！"
 death_shihao.001.z1:0 "先帝五宗安之，秉德不回，谥曰明圣成孝！"
 death_shihao.001.a2:0 "先帝圣善周闻，主义行德，谥曰神聪懿道大孝！"
 death_shihao.001.b2:0 "先帝含和无欲，果虑果远，谥曰至道大圣大明孝！"
 death_shihao.001.c2:0 "先帝除天地害，施勤无私，谥曰文献孝敬！"
 death_shihao.001.d2:0 "先帝致果克敌，执心决断，谥曰英肃睿哲！"
 death_shihao.001.e2:0 "先帝小心昭事，刚克为伐，谥曰昭献简恭！"
 death_shihao.001.f2:0 "先帝文德充实，温柔贤善，谥曰睿文昭圣恭惠！"
 death_shihao.001.g2:0 "先帝德华茂着，容仪恭美，谥曰宪文肃武睿圣宣孝！"
 death_shihao.001.h2:0 "先帝宽仁得众，愍民惠礼，谥曰文惠明孝！"
 death_shihao.001.i2:0 "先帝道德纯一，能思辩众，谥曰明道崇德文宣孝！"
 death_shihao.001.j2:0 "先帝敬慎高亢，合善典法，谥曰神圣英孝！"
 death_shihao.001.k2:0 "先帝威仪恭明，圣闻周达，谥曰圣穆景文孝！"
 death_shihao.001.l2:0 "先帝明知周通，资辅共就，谥曰齐圣昭孝！"
 death_shihao.001.m2:0 "先帝肇敏行成，能思辩众，谥曰章圣元孝！"
 death_shihao.001.n2:0 "先帝刚柔不偏，德正应和，谥曰大和大圣大昭孝！"
 death_shihao.001.o2:0 "先帝武而不遂，屡征杀伐，谥曰光圣神闵孝！"


shihao_ai_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 早孤短折，有知夭殇，谥曰哀！"
shihao_an_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 好和不争，在国遭忧，谥曰安！"
shihao_cheng_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 礼乐明具，威仪悉备，谥曰成！"
shihao_chun_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 能修其官，敬宾厚礼，谥曰纯！"
shihao_dai_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 至诚无息，先觉体元，谥曰代！"
