l_simp_chinese:
 legend_origin: "Legend of Origin"
 OE_Legend_AncestorGloryName: "[ancestor.Custom('GetUIGuohao')][ancestor.Custom('GetUImiaohao')][ancestor.GetNickname][ancestor.Custom('GetUIchinaTitle')]"
 OE_Legend_AncestorBaseName: "[ancestor.GetDynastyName|U][ancestor.GetFirstName|U]"
 OE_Legend_AncestorMiaohao: "[ancestor.Custom('GetUIGuohao')][ancestor.Custom('GetUImiaohao')]"
 OE_Legend_AncestorShihao: "[ancestor.Custom('GetUIGuohao')][ancestor.GetNickname][ancestor.Custom('GetUIchinaTitle')]"

 legend_chronicle_ancestral_dynasty_desc: "$OE_Legend_AncestorFullName$ is our bloodline's founder, who once created a great dynasty."

 legend_chapter_opening_ancestral_dynasty: "[ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')|U] was born from the sacred bloodline of $OE_Legend_AncestorFullName$. With such a great and divine lineage, who would doubt that [ROOT.Legend.GetProtagonist.GetSheHe] will achieve greatness?"
 legend_chapter_motivation_ancestral_dynasty: "[ROOT.Legend.GetProtagonist.GetHerHis] heart is without doubt; [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')] is destined to unify the entire [ROOT.Legend.GetProperty( 'title' ).Title.GetBaseNameNoTooltip]. In the name of $OE_Legend_AncestorFullName$, the disputes among the lower-class nobles will soon come to an end, and everyone will call [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')] their lord."
 legend_chapter_famous_deed_ancestral_dynasty: "Fools gather to challenge [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')], but they are like ants attempting to shake a great tree. The followers of [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')|U] continue to increase because of [ROOT.Legend.GetProtagonist.GetSheHe] great deeds for [ROOT.Legend.GetProtagonist.GetFaith.PantheonTerm], and [ROOT.Legend.GetProtagonist.GetSheHe] has become the true embodiment of $OE_Legend_AncestorGloryName$."
 legend_chapter_extra_deed_ancestral_dynasty: "Since the time of $OE_Legend_AncestorGloryName$, the beautiful [ROOT.Legend.GetProperty( 'title' ).Title.GetBaseNameNoTooltip] countryside has been troubled by robbers and bandits, but [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')] quickly began a righteous endeavor, protecting the people under [ROOT.Legend.GetProtagonist.GetSheHe] legal governance."
 legend_chapter_conclusion_ancestral_dynasty: "Although this journey was fraught with danger, given all that [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')] has done for [ROOT.Legend.GetProperty( 'title' ).Title.GetBaseNameNoTooltip] and its people, who could doubt that [ROOT.Legend.GetProtagonist.GetSheHe] is the chosen ruler by [ROOT.Legend.GetProtagonist.GetFaith.PantheonTerm|U]? Whether in the cities or the humblest of cottages, all are joyfully calling out the name of “[ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')]”!"

legend_loyal_warrior: "Loyal $OE_Legend_AncestorBaseName$"
legend_loyal_warrior_desc: "The loyal and courageous $OE_Legend_AncestorBaseName$, who has made immortal contributions to the court."
legend_loyal_warrior_flag: "[Localize( ancestor_flag )|U] achievement"
legend_loyal_warrior_flag_desc: "[Localize( ancestor_flag )|U] is an unmatched national hero, who has made immortal contributions to the court."

legend_chapter_opening_loyal_warrior: "As a great sage of [religion.GetNameNoTooltip], the legend of $OE_Legend_AncestorBaseName$ began with an omen at birth. From a young age, [ancestor.GetSheHe] felt the call of [ROOT.Legend.GetOwner.GetFaith.PantheonTerm]."
legend_chapter_opening_loyal_warrior_flag: "As a great sage of [religion.GetNameNoTooltip], the legend of [Localize( ancestor_flag )|U] began with an omen at birth. From a young age, [Localize( ancestor_flag )|U] felt the call of [ROOT.Legend.GetOwner.GetFaith.PantheonTerm]."

legend_chapter_motivation_loyal_warrior: "[ROOT.Legend.GetOwner.GetFaith.PantheonTerm] will bestow a great responsibility upon $OE_Legend_AncestorBaseName$: [ancestor.GetSheHe] must achieve great deeds! All [ROOT.Legend.GetProperty('religion').Religion.GetAdherentNamePluralNoTooltip] will remember [ROOT.Legend.GetOwner.GetFaith.PantheonTerm], but no one knows that $OE_Legend_AncestorBaseName$ is about to enter the annals of history!"
legend_chapter_motivation_loyal_warrior_flag: "[ROOT.Legend.GetOwner.GetFaith.PantheonTerm] will bestow a great responsibility upon [ROOT.Legend.Custom('GetAncestorNameNoTooltip')]! All [ROOT.Legend.GetProperty('religion').Religion.GetAdherentNamePluralNoTooltip] will remember [ROOT.Legend.GetOwner.GetFaith.PantheonTerm2], but no one knows that [Localize( ancestor_flag )|U] is about to enter the annals of history!"

legend_chapter_extra_deed_loyal_warrior: "The path of the loyal and righteous sage was entangled by treacherous and vile men. [ROOT.Legend.Custom('GetAncestorNameNoTooltip')] wielded the blade blessed by [ancestor.GetFaith.PantheonTerm], driving them all away. However, venomous snakes and fierce beasts still roamed the road, posing a danger to [ROOT.Legend.GetProperty('religion').Religion.GetAdherentNamePluralNoTooltip], thus [ROOT.Legend.Custom('GetAncestorNameNoTooltip')] took out [ancestor.GetHerHis] righteous weapon and drove out [ancestor.GetFaith.WitchGodNamePossessive] from this land."
legend_chapter_conclusion_loyal_warrior: "[ROOT.Legend.Custom('GetAncestorNameNoTooltip')] tirelessly worked for all that is [ROOT.Legend.GetProperty('religion').Religion.GetNameNoTooltip], battling the minions of [ROOT.Legend.GetOwner.GetFaith.DevilName] in court and society, and at last, [ROOT.Legend.GetOwner.GetHerHis] struggle concluded. The immortal achievement was completed, and [ROOT.Legend.Custom('GetAncestorNameNoTooltip')] lived a life of utmost loyalty and sincerity."

laozi: "Laozi"
tianshi: "Heavenly Master"
baiqi: "Bai Qi"
xiangyu: "Xiang Yu"
hanxin: "Han Xin"
liguang: "Li Guang"
lijing: "Li Jing"
mayuan: "Ma Yuan"
weiqing: "Wei Qing"
huoqubing: "Huo Qubing"
banchao: "Ban Chao"
zhouchu: "Zhou Chu"
huanwen: "Huan Wen"
libai: "Li Bai"
TrungVuong: "Trung Vuong"
