Chunk 5 sent to API:
ID000400 "天府之国"
ID000451 "四通八达的军事要道，无论多么庞大的军队都能安然通过。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $大幅提升$#!。\n\n"
ID000452 "驿道"
ID000453 "用于转输军用粮草物资、传递军令军情、供军队行进的通道。"
ID000454 "军用小径"
ID000455 "未经硬化的简易路面，可勉强用于小股军队快速通行。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $小幅提升$#!。\n\n"
ID000456 "道路硬化"
ID000457 "铺设大量石砖的硬化路面，调配一定人手日常维护，保证战时的最佳通行状态。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $中幅提升$#!。\n\n"
ID000458 "交通要道"
ID000459 "四通八达的军事要道，无论多么庞大的军队都能安然通过。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $大幅提升$#!。\n\n"
ID000460 "关隘"
ID000461 "借助当地天然的地形优势，一座规模庞大的永久性防御工事拔地而起，它们是农耕文明内战御敌和防止游牧入侵的重要屏障。"
ID000462 "简易隘口"
ID000463 "木石结构的简易关口，古朴而有效。\n\n\n 若此关隘开启，#N #EMP 敌军#!#![army_commander|E]带领[army|E]途经此[county|E]时，行军速度将#V $小幅降低$#!，[army|E][attrition|E]将#V $小幅提升$#!。\n\n"
ID000464 "强化防御"
ID000465 "运用部分永固材料升级关隘墙体，我们的铜墙铁壁令敌人望而生畏。\n\n\n 若此关隘开启，#N #EMP 敌军#!#![army_commander|E]带领[army|E]途经此[county|E]时，行军速度将#V $中幅降低$#!，[army|E][attrition|E]将#V $中幅提升$#!。\n\n"
ID000466 "重兵把守"
ID000467 "防御工事重点在人，把守关隘的守军既要数量充足，更要质量优秀。\n\n\n 若此关隘开启，#N #EMP 敌军#!#![army_commander|E]带领[army|E]途经此[county|E]时，行军速度将#V $大幅降低$#!，[army|E][attrition|E]将#V $大幅提升$#!。\n\n"
ID000468 "关城"
ID000469 "集侦察、御敌、打击为一体的超级防御工事，我们自信此地非重兵不可攻破。\n\n\n 若此关隘开启，#N #EMP 敌军#!#![army_commander|E]带领[army|E]途经此[county|E]时，行军速度将#V $极大降低$#!，[army|E][attrition|E]将#V $极大提升$#!。\n\n"

