Chunk 1 sent to API:
ID000000 "市镇广场"
ID000047 "一座扩建的地牢监狱，可以为我们提供更多牢房以关押附近的盗匪，改善周边治安。同时我们将在城堡内划出一片绞刑架，处决罪大恶极之人，给予犯罪分子以震撼，令心存侥幸之人不敢再为非作歹。"
ID000048 "战略会议厅"
ID000049 "战略会议厅的大桌上布满了地图和斥候带回的线报，领主和将军们能在此处运筹帷幄，决胜于千里之外。"
ID000050 "城堡炼金工坊"
ID000051 "我们将会在城堡上层建造一间密室，用以进行令人着迷的炼金学实验，当然还有哲学、科学和神秘主义之类的研究。隐秘的位置让我们的牧师根本就不会知道这些在他们看来是异端的真理，而我们已经能够解开万物元素那神秘面纱的一角了。"
ID000052 "葡萄园"
ID000053 "#F 专门用来生产葡萄的地方，由当地廉价的劳动力农民管理。这些葡萄将发酵成葡萄酒，供当地的贵族和教堂弥撒之用，或者卖给民众，从中获利。#!"
ID000054 "小葡萄园"
ID000055 "一个小葡萄园，将由治下的农民播种和收获，同时我们将提前规划好未来将要的扩建的区域并做好扩建的准备。"
ID000056 "榨酒工坊"
ID000057 "葡萄园附近的一个建筑将专门用来进行名为榨酒的压槽制酒工艺，此前部分工作于此的农民将被雇佣和培训相关的榨酒技能，并大大地提高我们产出的葡萄酒的质量与产量。"
ID000058 "大葡萄园"
ID000059 "扩展播种区域，以收获更多的葡萄用以酿酒和销售。"
ID000060 "酿酒厂"
ID000061 "这是一座致力于醉人的酿酒艺术的奢华建筑。"
ID000062 "葡萄种植园"
ID000063 "葡萄园将被扩建，为种植各种葡萄和其他外来水果提供空间，以提升我们制作的酒水的多样化。"
ID000064 "贸易区"
ID000065 "#F 这是城镇里将用来开商店和货摊的地方，任何商业铺位，诸如酒馆和妓院都可以在这里建造，使我们的城镇更具活力。#!"
ID000066 "专用道路"
ID000067 "我们将在城镇中挑选一条方便进出的大街，并将其和周边的区域规划为贸易区域，这里将是我们城镇贸易活动的中心，也将是未来更多店铺和商人交易的场所。"
ID000068 "摊位许可"
ID000069 "镇上的摊贩和农民若想要摆摊，则必须要付很少的费用来购买一张许可证，通过这种方法，我们就可以调节季节性的商品，赚取微薄的利润。"
ID000070 "酒馆"
ID000071 "该地区将建造一个酒馆，让每个人都有一个放松和社交的地方。酒馆将包括一个为旅行者和商队提供落脚点的客栈，和一个为酒鬼们服务的酒吧。"
ID000072 "妓院"
ID000073 "贸易区内的一幢建筑将被改造成妓院，农民士兵和类似的人将能够参与这种可疑的交易;所有的利润都归你所有。"
ID000074 "啤酒厂"
ID000075 "当地居民的谷物将被集中收购并被进口到建有啤酒厂的地区，我们建立的啤酒厂将进行一系列复杂的酿酒工序，并产出和销售令人赞叹的美酒。"
ID000076 "工匠和武器匠"
ID000077 "我们将贸易区的一部分场地分割出来，并提供给铁匠制作各种工具和锻制武器，并以低廉的价格卖给当地民众。这样既能用武器武装你的居民，还能让用工具让他们的工作更高效。"
ID000078 "市议会"
ID000079 "市长将为市政局建造一幢华丽的大楼，用于处理轻微犯罪的仲裁，如小偷、家庭纠纷、农民边界纠纷等。并将周围居民的户籍记录在案，方便更高效地进行税收和管理。而诸如强奸和谋杀等重大罪行将由当地贵族处理。"
ID000080 "大型酒馆街"
ID000081 "镇上的酒馆将被升级，数家不同的多层酒馆将取代此前的乡巴佬酒馆，并为来此经商和旅行的人们提供多元化的服务。"
ID000082 "马厩"
ID000083 "#F 这些位于围栏外的建筑是用来饲养马匹的，供军队使用，也供当地农民日常劳作。马是灵活和快速的坐骑，最适合森林，平原或该地区的农田。#!"
ID000084 "马倌"
ID000085 "熟练的农民将被雇佣来饲养马匹。"
ID000086 "见习侍从"
ID000087 "贵族骑士们能从当地招募见习侍从，这些护卫能帮骑士看护马匹，并在战争时为骑士提供一定的支持帮助。"
ID000088 "马蹄铁工匠"
ID000089 "一家铁匠铺将专门用于马蹄铁的制作和维护。保证有足够的马蹄铁储存，让马匹们能更高效地工作，毕竟，丢了一个马蹄铁可能会丢一个国家不是。"
ID000090 "战马马倌"
ID000091 "强壮高大的马将被我们更有经验的战马马倌特殊培育和喂养以适应他们未来在战场上的战马身份。虽然它们更难驾驭，但我们的骑士们得到了更强壮的坐骑并能在战斗中发挥出更强的战斗力。"
ID000092 "马甲"
ID000093 "为战马制造坚固的盔甲不是一件容易的事，但回报绝对是值得的。盔甲的重量虽然给战马们带来了负担，但同样为骑兵们带来了毁灭性的力量，毕竟具装骑兵就是中世纪战争的坦克（不是）。"
ID000094 "练习区"
ID000095 "这片广阔的土地被规划为我们的骑士、轻重骑兵练习的场地。为骑手们提供磨炼技术和培养与爱马默契的场所。"
ID000096 "大马厩"
ID000097 "大而坚固的马厩来安置我们宝贵的骏马，保护它们免受小偷和恶劣天气的伤害。"
ID000098 "优化育种"
ID000099 "来自五湖四海的专业育种者将被召集来饲养最强壮、最聪明的马。有了适当的工作场所和大量适合配种的种马，相信他们可以培育出我们想要的战争野兽!"
ID000100 "简易码头"
ID000101 "#F 一个由木桥简易构成的码头，为所有的航海者提供一个停靠所。#!"
ID000102 "长船码头"
ID000103 "港口将扩大，以支持我们的长船停靠，让这里成为我们发动突袭、劫掠和旅行的绝佳起点。"
ID000104 "渔村"

