Chunk 3 sent to API:
ID000 我的演讲跟屎一样，我完了
ID120 这支混编轻步兵部队来源复杂，狂热的宗教志愿军与北非的黑人奴兵夹杂其中，他们为了一场浩大的圣战汇集于此，他们相信并肩作战的穆斯林兄弟们，他们相信先知，他们信仰真主。
ID121 摩尔近卫
ID122 摩尔战士保留着浓厚的部落传统，他们战斗时一往无前。
ID123 摩尔骑兵
ID124 摩尔骑兵在摩尔人大征服时期大量服役，他们将北非传统骑术与伊比利亚地区战况相结合，战斗力尤为剽悍。
ID125 西班牙标枪骑手
ID126 为了应对大量投入战场的摩尔骑兵，我们将骑术高超的战士组织起来，他们身着皮革盔甲，手持标枪长矛，不断盘旋骚扰敌军，伺机突入敌阵一举击溃之。
ID127 教团骑士
ID128 身披重甲的狂热骑士，擅长重装骑士冲锋。
ID129 加泰罗尼亚突击兵
ID130 收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，士气高昂地向敌人发起冲锋。
ID131 加泰罗尼亚雇佣兵
ID132 他们是伊比利亚半岛收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，作为精锐步兵部队加入到世界各处大大小小的战场之中。
ID133 拜占庭军团步兵
ID134 军团步兵是拜占庭军队的中流砥柱，他们装备精良，纪律性极强。
ID135 帝国卫队
ID136 这些精锐重步兵构成了拜占庭帝国不朽的防线，他们隶属于中央军，作战经验丰富。
ID137 拜占庭弓箭手
ID138 箭术是每一个拜占庭战士的必修课，这些技艺高超的弓箭手在己方步兵阵线的掩护下，用超乎寻常的准头将敌军一一击毙。
ID139 瓦兰吉卫队
ID140 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID141 瓦兰吉卫队
ID142 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID143 边民卫士
ID144 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们坚持团队作战，以娴熟的战阵配合而闻名。
ID145 边境劫掠者
ID146 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们毫无道德可言，以灵活多变的战斗方式和缺饷后对平民做出的恶行而闻名。
ID147 投石步兵
ID148 掷出石块骚扰敌人的轻装投石手，手法娴熟，一击脱离。
ID149 轻装标枪手
ID150 轻装出击的投枪手，装备简陋但行动迅速。
ID151 先锋轻骑
ID152 以速度和灵活著称的拜占庭轻骑兵，装备有弓箭、标枪，尤其擅长一击脱离的游击战术。
ID153 营堡护卫
ID154 长期驻扎在边境堡垒中的重装要塞守卫。
ID155 长桌游士
ID156 边境巡逻的轻装骑士，发现敌情即刻向上汇报并密切监视其动向。
ID157 边境掠骑
ID158 防备敌军骑兵的快速反应部队，能在第一时间做出反应并上前游击骚扰。
ID159 安萨尔轻骑
ID160 这些往来于朝圣之路的骑兵护卫着一批又一批虔诚的信徒。
ID161 迅捷卫队
ID162 他们是穆斯林征服叙利亚期间拉什顿军团的一支精锐轻骑兵部队，在大马士革围城战中以惊人的速度扭转了攻势，大败不可一世的拜占庭军队。
ID163 炉卫
ID164 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID165 炉卫
ID166 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID167 马穆鲁克重骑兵
ID168 这些经过长期训练的奴隶战士组成了我们强大的重骑兵部队，我预感他们将在未来的某场战斗中大放异彩。
ID169 马穆鲁克骑射手
ID170 我们的马穆鲁克奴隶战士极富战斗力，其中佼佼者的骑射技术甚至不逊于那些从小在马背上长大的游牧民族射手。
ID171 铁甲骆驼骑兵
ID172 为骆驼制作盔甲不是容易的工作，但回报非常值得。骇人的全甲骆驼一次冲锋就能让骑马的军队夹着尾巴逃跑。
ID173 阿萨维拉
ID174 这些皈依吾主的波斯武士人马具甲，他们的铁骑在几个世纪前曾立下不世之功。
ID175 乌古斯雇佣骑兵

