Chunk 1 sent to API:
ID000000 百越雄心
ID000174 草原游骑
ID000175 草原游骑
ID000176 回鹘轻骑
ID000177 赞普卫戍部
ID000178 桂
ID000179 赞普卫戍部
ID000180 桂
ID000181 五茹桂骑兵
ID000182 桂
ID000183 庸东岱护持
ID000184 庸
ID000185 可以招募[GetMaA('wushi').GetName]作为[men_at_arms|E]
ID000186 可以招募[GetMaA('zuqing').GetName]作为[men_at_arms|E]
ID000187 悍勇无双
ID000188 只有强者才配活下去。
ID000189 战争艺术
ID000190 战争是门艺术，赢家通吃，输家一无所有。

