Chunk 3 sent to API:
ID000455 我的演讲跟屎一样，我完了
ID000518 重骑兵
ID000519 苏格兰高地战士
ID000520 穿梭于苏格兰北部高地的勇猛战士，他们的格子衫上闪耀着不屈之光。
ID000521 凯尔特战士
ID000522 遍布战纹、赤裸上身的凯尔特氏族战士，让不可一世的罗马军团吃尽苦头。
ID000523 盎格鲁-撒克逊民兵
ID000524 这些自由民兵的装备和供给堪称精良，他们平时接受强大的亲卫军的训练与监督，战斗意志格外突出。
ID000525 御卫
ID000526 御卫军拥有整支军队中最精良的装备，他们是王公贵族选拔出来的强大战士。
ID000527 威尔士长弓手
ID000528 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID000529 威尔士长弓手
ID000530 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID000531 山地游骑兵
ID000532 威尔士山区技艺高超的轻型骑兵，自由驰骋于森林与山地之间。
ID000533 沼泽猎手
ID000534 爱尔兰沼泽遍布，但优秀的骑手总能找到捷径。
ID000535 爱尔兰投石手
ID000536 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID000537 爱尔兰投石手
ID000538 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID000539 外乡勇士
ID000540 这些来自苏格兰北部高地的盖尔雇佣兵个个武艺非凡，只要钱给的到位，什么都不是问题。
ID000541 盖尔老兵
ID000542 这些来自苏格兰北部高地的盖尔雇佣兵闲暇之余很乐意为同族的领主效力。
ID000543 阿瓦尔轻骑
ID000544 阿瓦尔是一支强大的草原民族，他们的铁蹄自东方踏来。
ID000545 阿瓦尔重骑兵
ID000546 古老而强大的重装骑兵。
ID000547 保加利亚重骑兵
ID000548 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID000549 保加利亚重骑兵
ID000550 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID000551 骠骑兵
ID000552 狂战士
ID000553 一旦这些战士的血液开始沸腾，只有敌人的死才能让他们感到满足。
ID000554 狂战士
ID000555 一旦这些战士的血液开始沸腾，只有敌人的死才能让他们感到满足。
ID000556 萨尔
ID000557 体面的雅尔不会让自家的奴隶拿武器上战场，但今时不同往日......
ID000558 庭卫
ID000559 体面的领主应该有一支自家的宫廷卫士，一群能够应对各种突发状况的强大战士。
ID000560 诺曼骑兵
ID000561 诺曼人将大量精力投入到骑兵训练中，他们装备相对较轻的锁子甲，并开创了夹枪冲锋这一战法，愈发适应战场上的多变形势。
ID000562 方旗骑士
ID000563 区别于普通骑士的锥形三角旗，这些贵族骑士有权在战场上使用象征身份与地位的方形旗帜，他们是身经百战，意志坚定的无畏斗士。
ID000564 披甲军士
ID000565 身披重甲的高级军事随从，作为一股不小的战力为领主服务。
ID000566 学徒骑士
ID000567 每一位渴望成为骑士的少年都应该着重积累实战经验，战场就是他们的校园。
ID000568 克恩
ID000569 克恩是一种爱尔兰轻步兵，常与盖尔佣兵一起投入战斗，他们装备简陋却战斗力非凡，常为人们所称道。
ID000570 拉什顿重骑兵
ID000571 这支穆斯林征服期间成立的精锐骑兵部队几乎人人都骑乘着纯血阿拉伯马，他们的长矛冲锋足以毁灭任何敌人。
ID000572 阿莫里坎重骑兵
ID000573 受阿兰人与晚期罗马军制影响，布列塔尼人大量运用骑兵作战，他们的特点是纪律性极强，协同作战能力好。
ID000574 阿比德步兵
ID000575 这支混编轻步兵部队来源复杂，狂热的宗教志愿军与北非的黑人奴兵夹杂其中，他们为了一场浩大的圣战汇集于此，他们相信并肩作战的穆斯林兄弟们，他们相信先知，他们信仰真主。
ID000576 摩尔近卫
ID000577 摩尔战士保留着浓厚的部落传统，他们战斗时一往无前。
ID000578 摩尔骑兵
ID000579 摩尔骑兵在摩尔人大征服时期大量服役，他们将北非传统骑术与伊比利亚地区战况相结合，战斗力尤为剽悍。
ID000580 西班牙标枪骑手
ID000581 为了应对大量投入战场的摩尔骑兵，我们将骑术高超的战士组织起来，他们身着皮革盔甲，手持标枪长矛，不断盘旋骚扰敌军，伺机突入敌阵一举击溃之。
ID000582 教团骑士
ID000583 身披重甲的狂热骑士，擅长重装骑士冲锋。
ID000584 加泰罗尼亚突击兵
ID000585 收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，士气高昂地向敌人发起冲锋。
ID000586 加泰罗尼亚雇佣兵
ID000587 他们是伊比利亚半岛收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，作为精锐步兵部队加入到世界各处大大小小的战场之中。
ID000588 拜占庭军团步兵
ID000589 军团步兵是拜占庭军队的中流砥柱，他们装备精良，纪律性极强。
ID000590 帝国卫队
ID000591 这些精锐重步兵构成了拜占庭帝国不朽的防线，他们隶属于中央军，作战经验丰富。
ID000592 拜占庭弓箭手
ID000593 箭术是每一个拜占庭战士的必修课，这些技艺高超的弓箭手在己方步兵阵线的掩护下，用超乎寻常的准头将敌军一一击毙。
ID000594 瓦兰吉卫队
ID000595 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID000596 瓦兰吉卫队
ID000597 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID000598 边民卫士
ID000599 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们坚持团队作战，以娴熟的战阵配合而闻名。
ID000600 边境劫掠者
ID000601 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们毫无道德可言，以灵活多变的战斗方式和缺饷后对平民做出的恶行而闻名。
ID000602 投石步兵
ID000603 掷出石块骚扰敌人的轻装投石手，手法娴熟，一击脱离。
ID000604 轻装标枪手
ID000605 轻装出击的投枪手，装备简陋但行动迅速。
ID000606 先锋轻骑
ID000607 以速度和灵活著称的拜占庭轻骑兵，装备有弓箭、标枪，尤其擅长一击脱离的游击战术。
ID000608 营堡护卫
ID000609 长期驻扎在边境堡垒中的重装要塞守卫。
ID000610 长桌游士
ID000611 边境巡逻的轻装骑士，发现敌情即刻向上汇报并密切监视其动向。
ID000612 边境掠骑
ID000613 防备敌军骑兵的快速反应部队，能在第一时间做出反应并上前游击骚扰。
ID000614 安萨尔轻骑
ID000615 这些往来于朝圣之路的骑兵护卫着一批又一批虔诚的信徒。
ID000616 迅捷卫队
ID000617 他们是穆斯林征服叙利亚期间拉什顿军团的一支精锐轻骑兵部队，在大马士革围城战中以惊人的速度扭转了攻势，大败不可一世的拜占庭军队。
ID000618 炉卫
ID000619 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000620 炉卫
ID000621 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000622 马穆鲁克重骑兵
ID000623 这些经过长期训练的奴隶战士组成了我们强大的重骑兵部队，我预感他们将在未来的某场战斗中大放异彩。
ID000624 马穆鲁克骑射手
ID000625 我们的马穆鲁克奴隶战士极富战斗力，其中佼佼者的骑射技术甚至不逊于那些从小在马背上长大的游牧民族射手。
ID000626 铁甲骆驼骑兵
ID000627 为骆驼制作盔甲不是容易的工作，但回报非常值得。骇人的全甲骆驼一次冲锋就能让骑马的军队夹着尾巴逃跑。
ID000628 阿萨维拉
ID000629 这些皈依吾主的波斯武士人马具甲，他们的铁骑在几个世纪前曾立下不世之功。
ID000630 乌古斯雇佣骑兵

