Chunk 7 sent to API:
ID000600 该死的，他们是抢到手黄金了，那我的呢！
ID000641 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID000642 爱尔兰投石手
ID000643 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID000644 外乡勇士
ID000645 这些来自苏格兰北部高地的盖尔雇佣兵个个武艺非凡，只要钱给的到位，什么都不是问题。
ID000646 盖尔老兵
ID000647 这些来自苏格兰北部高地的盖尔雇佣兵闲暇之余很乐意为同族的领主效力。
ID000648 阿瓦尔轻骑
ID000649 阿瓦尔是一支强大的草原民族，他们的铁蹄自东方踏来。
ID000650 阿瓦尔重骑兵
ID000651 古老而强大的重装骑兵。
ID000652 保加利亚重骑兵
ID000653 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID000654 保加利亚重骑兵
ID000655 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID000656 骠骑兵
ID000657 #F 威名远扬的东欧$hussar$是突袭的大师，可以快速消灭逃散的敌军。#!
ID000658 狂战士
ID000659 一旦这些战士的血液开始沸腾，只有敌人的死才能让他们感到满足。
ID000660 狂战士
ID000661 一旦这些战士的血液开始沸腾，只有敌人的死才能让他们感到满足。
ID000662 萨尔
ID000663 体面的雅尔不会让自家的奴隶拿武器上战场，但今时不同往日......
ID000664 庭卫
ID000665 体面的领主应该有一支自家的宫廷卫士，一群能够应对各种突发状况的强大战士。
ID000666 诺曼骑兵
ID000667 诺曼人将大量精力投入到骑兵训练中，他们装备相对较轻的锁子甲，并开创了夹枪冲锋这一战法，愈发适应战场上的多变形势。
ID000668 方旗骑士
ID000669 区别于普通骑士的锥形三角旗，这些贵族骑士有权在战场上使用象征身份与地位的方形旗帜，他们是身经百战，意志坚定的无畏斗士。
ID000670 披甲军士
ID000671 身披重甲的高级军事随从，作为一股不小的战力为领主服务。
ID000672 学徒骑士
ID000673 每一位渴望成为骑士的少年都应该着重积累实战经验，战场就是他们的校园。
ID000674 克恩
ID000675 克恩是一种爱尔兰轻步兵，常与盖尔佣兵一起投入战斗，他们装备简陋却战斗力非凡，常为人们所称道。
ID000676 拉什顿重骑兵
ID000677 这支穆斯林征服期间成立的精锐骑兵部队几乎人人都骑乘着纯血阿拉伯马，他们的长矛冲锋足以毁灭任何敌人。
ID000678 阿莫里坎重骑兵
ID000679 受阿兰人与晚期罗马军制影响，布列塔尼人大量运用骑兵作战，他们的特点是纪律性极强，协同作战能力好。
ID000680 阿比德步兵
ID000681 这支混编轻步兵部队来源复杂，狂热的宗教志愿军与北非的黑人奴兵夹杂其中，他们为了一场浩大的圣战汇集于此，他们相信并肩作战的穆斯林兄弟们，他们相信先知，他们信仰真主。
ID000682 摩尔近卫
ID000683 摩尔战士保留着浓厚的部落传统，他们战斗时一往无前。
ID000684 摩尔骑兵
ID000685 摩尔骑兵在摩尔人大征服时期大量服役，他们将北非传统骑术与伊比利亚地区战况相结合，战斗力尤为剽悍。
ID000686 西班牙标枪骑手
ID000687 为了应对大量投入战场的摩尔骑兵，我们将骑术高超的战士组织起来，他们身着皮革盔甲，手持标枪长矛，不断盘旋骚扰敌军，伺机突入敌阵一举击溃之。
ID000688 教团骑士
ID000689 身披重甲的狂热骑士，擅长重装骑士冲锋。
ID000690 加泰罗尼亚突击兵
ID000691 收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，士气高昂地向敌人发起冲锋。
ID000692 加泰罗尼亚雇佣兵
ID000693 他们是伊比利亚半岛收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，作为精锐步兵部队加入到世界各处大大小小的战场之中。
ID000694 拜占庭军团步兵
ID000695 军团步兵是拜占庭军队的中流砥柱，他们装备精良，纪律性极强。
ID000696 帝国卫队
ID000697 这些精锐重步兵构成了拜占庭帝国不朽的防线，他们隶属于中央军，作战经验丰富。
ID000698 拜占庭弓箭手
ID000699 箭术是每一个拜占庭战士的必修课，这些技艺高超的弓箭手在己方步兵阵线的掩护下，用超乎寻常的准头将敌军一一击毙。

