Chunk 2 sent to API:
ID000191 安闲自得
ID000228 长剑都将
ID000229 长剑都将
ID000230 长剑都
ID000231 长剑都
ID000232 长剑都
ID000233 长剑都
ID000234 牙将
ID000235 牙将
ID000236 契丹
ID000237 可以招募[GetMaA('nvzhen_mouke').GetName]作为[men_at_arms|E]
ID000238 赐予你手下的$jurchen$[knights|E]土地将大幅增加他们的战斗意志，\n但长期的安逸生活亦会很快将他们腐蚀。
ID000239 谋克
ID000240 经过精挑细选、层层选拔的精英战士，他们无不是各个部族中征掠、围猎的好手。
ID000241 谋克
ID000242 经过精挑细选、层层选拔的精英战士，他们无不是各个部族中征掠、围猎的好手。
ID000243 你必须拥有[feudal|E][government|E]
ID000244 苏丹卫队
ID000245 一支由苏丹亲信组成的可靠卫队，平日里也为苏丹做些见不得光的工作 
ID000246 骑士传统
ID000247 法国广袤的平原是骑士的主战场，这里孕育了整个中世纪最最凶悍的骑士兵团
ID000248 亲卫队
ID000249 强大的统治者往往需要一支可靠的亲卫队应对各种突发状况，并且这些人最好值得信赖。
ID000250 持斧近卫
ID000251 伏特加
ID000252 生命之水，罗斯民族的骄傲
ID000253 民风彪悍
ID000254 文明蒙昧，民风彪悍，原始的欲望充斥在每个人心中
ID000255 瘊子甲
ID000256 羌人善锻甲，凡锻甲之法，其始甚厚，不用火，冷锻之，比元厚三分减二乃成。其末留箸头许不锻，隐然如瘊子，欲以验未锻时厚薄，如浚河留土笋也，谓之“瘊子甲”。强弩射之，不能入.
ID000257 横山羌
ID000258 广泛存在于西北山区的羌人部族，以卓绝的越野能力纵横于群山之间。
ID000259 党项马
ID000260 党项族居住的地斤泽、横山、天都山一带都是著名产马地区。马多而品种优良，唐代诗人元稹有“北买党项马，西擒吐蕃鹦”之句。宋人更是称誉党项马为天下之最。
ID000261 冷锻钢
ID000262 党项人的锻钢技术超绝于世，世人以得到一把夏国剑为无上荣光。宋钦宗本人随身佩带的宝剑就是‘夏国剑’。苏东坡曾得到一把西夏剑，作诗云：‘红妆拥坐花照酒，青萍拔鞘堂生风。螺旋铓锷波起脊，白蛟双挟三蛟龙。试人一缕立褫魄，戏客三招森动容。’。
ID000263 浪人
ID000264 为恢复昔日的权威而疯狂冒险，以天皇亲兵自居，到处以
ID000265 神臂弓
ID000266 神臂弓一人可开,最大射程达四百米,能贯重甲。
ID000267 马政废弛
ID000268 上层统治者的忽视加上下层官员的错误施政已经让中原马政陷入了积重难返的困境。
ID000269 保马法
ID000270 中原无马可用的局面正式扭转，强有效的马政政策施行了起来，如果整套体系运转良好的话将泽披万世。
ID000271 商业民族
ID000272 粟特人通过漫长的丝绸之路频繁往来于中亚与中国之间，从中世纪东西方贸易中攫取了大量财富。
ID000273 和弓
ID000274 日本弓道所使用的一类长弓。标准的和弓长度约为七尺三寸。
ID000275 薙刀
ID000276 薙刀是古代日本使用的一种长柄兵器，其刀幅较宽，刀刃部分有很大弧度。
ID000277 占城稻
ID000278 出产于中南半岛的高产、早熟、耐旱的稻种，造福甚广。
ID000279 引进占城稻
ID000280 引进出产于中南半岛高产、早熟、耐旱的占城稻，造福天下百姓。
ID000281 地大物博
ID000282 生吾炎黄，育我华夏。待之有为，必报中华。
ID000283 河朔轻骑
ID000284 自古燕地多武人，又处边塞，马匹贸易颇多，长期胡汉交杂下，良家子人人得骑。
ID000285 西南马
ID000286 西南马性情灵敏而温驯，善于爬山，适于山地驮运，为高原山地的重要运输工具。
ID000287 百保鲜卑骑
ID000288 燕云十八骑
ID000289 西凉铁骑
ID000290 翁牛特
ID000291 兀良哈
ID000292 乌济业特
ID000293 怯薛军
ID000294 拐子马
ID000295 拐子马
ID000296 铁浮图
ID000297 铁浮图
ID000298 虎步卫
ID000299 铁鹞子
ID000300 铁鹞子
ID000301 铁鹞子
ID000302 铁鹞子
ID000303 横山步跋子
ID000304 横山步跋子
ID000305 横山步跋子
ID000306 横山步跋子
ID000307 党项武士
ID000308 党项武士
ID000309 党项武士
ID000310 御围内六班具装直
ID000311 劲弩士
ID000312 蒙古重骑兵
ID000313 蒙古重骑兵
ID000314 忙古歹
ID000315 神臂弓手
ID000316 秦地悍卒
ID000317 白毦兵
ID000318 归义老兵
ID000319 安西军
ID000320 抬头见日，却不见长安。
ID000321 牙兵
ID000322 良家子牙兵
ID000323 牙兵
ID000324 牙兵
ID000325 牙兵
ID000326 马军
ID000327 马军
ID000328 马军
ID000329 朴刀手
ID000330 刀牌手
ID000331 河朔轻骑
ID000332 白马义从
ID000333 步人甲
ID000334 静塞铁骑
ID000335 背嵬重骑兵
ID000336 浪人
ID000337 僧兵
ID000338 连弩士
ID000339 连弩士
ID000340 丛林猎手
ID000341 银枪效节都
ID000342 鸦儿军
ID000343 契丹武士
ID000344 粟特牙兵
ID000345 女真征服（ai）
ID000346 大金
ID000347 统一女真诸部
ID000348 氏族首领们聚拢在我身边，铁浮图，拐子马，所有强者都为我的大业欢呼。\n\n战士们向我致意，让我们冲出森林，将世界牢牢纂于掌中。
ID000349 我的征服自此而始。
ID000350 统一女真诸部
ID000351 全军整备！
ID000352 统一女真诸部准备征服世界
ID000353 女真大军
ID000354 女真征服战争（一阶段）
ID000355 女真征服战争
ID000356 女真征服战争（二阶段）
ID000357 女真征服战争（三阶段）
ID000358 交出你的土地！
ID000359 你腐朽的统治是时候结束了，我，[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]，给你三天时间交出你的地盘，否则后果自负！
ID000360 我的大人，我愿意放弃我的土地并臣服于您......
ID000361 臣服于[nvzhenzhengfuzhe.GetTitledFirstName]
ID000362 与[nvzhenzhengfuzhe.GetTitledFirstName]开战
ID000363 向[demand_recipient.GetTitledFirstName]开战
ID000364 滚！
ID000365 致愚蠢的[nvzhenzhengfuzhe.GetFirstName]
ID000366 收回你的威胁！愚蠢的[nvzhenzhengfuzhe.GetFirstName]！\n\n你的威胁比三岁小孩还无力，你以为你是谁？你这妄想染指我的领土的猪猡。
ID000367 狗东西，我要把你碾的连渣都不剩！
ID000368 征服伊始
ID000369 我和我的族人们被召集于[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]帐前，女真人的每一个氏族首领和封臣都汇聚于此。我们都知道为何，并在烟雾缭绕的穹庐内进行了整夜的商议，其间没有产生任何怀疑。\n\n[nvzhenzhengfuzhe.GetFirstName]高声呼喊着祖先的姓名，他走过每一位女真战士的面前并与之亲切交流，我能感受到战士们的热血在沸腾。\n\n从现在开始，世界将在征服者[nvzhenzhengfuzhe.GetFirstName]脚下颤抖!
ID000370 为了女真人的荣耀！为了[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]！
ID000371 你击退了[attacker.GetShortUIName|U]，但下一次呢......
ID000372 玩家增加地产格子
ID000373 撞令郎
ID000374 准备出发！
ID000375 行动很顺利
ID000376 又到迫害异族的时候了
ID000377 撞令郎
ID000378 从丝路贸易中攫取利润
ID000379 金钱就是正义！
ID000380 金钱就是正义！
ID000381 你赚了笔大的
ID000382 组建银枪效节都
ID000383 我意已决！
ID000384 组建很成功
ID000385 组建银枪效节都
ID000386 组建鸦儿军（ai）小规模
ID000387 组建鸦儿军（ai）大规模
ID000388 组建鸦儿军
ID000389 我意已决！
ID000390 组建很成功
ID000391 组建鸦儿军
ID000392 鸦儿军
ID000393 藩镇兵（ai）小规模
ID000394 藩镇兵（ai）大规模
ID000395 扩充牙兵
ID000396 我意已决！
ID000397 你感觉倍有面子
ID000398 我需要一支可靠的私人卫队
ID000399 藩帅卫队
ID000400 发动一揆（ai）
ID000401 发动一揆
ID000402 蜂起は成功するだろう
ID000403 僧侶や兵士を動員する
ID000404 僧侶の連隊が武装している
ID000405 组建羽林军
ID000406 天命在此！
ID000407 天下请伏
ID000408 盛世当用强兵，组建羽林军！
ID000409 组建羽林军
ID000410 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID000411 我的威名将传遍四海。
ID000412 组建龙武军
ID000413 天命在此！
ID000414 天下请伏
ID000415 盛世当用强兵，组建龙武军！
ID000416 组建龙武军
ID000417 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID000418 我的威名将传遍四海。
ID000419 龙武军
ID000420 振兴马政（ai）
ID000421 振兴马政
ID000422 推行保马法，泽披后世！
ID000423 推行保马法......
ID000424 颁布保马法，泽披后世！
ID000425 颁布保马法！
ID000426 规定河北、河东、陕西、京东、西五路及开封府界诸县保甲养马，户一匹，物力高而自愿者二匹，给以官马，或官给钱自买。养马户可减免部分赋税。三等以上户十户为一保，四等以下户十户为一社。保户马病死，由养马户单独赔偿；社户马病死，由养马户与其他九户共偿其半。\n\n传朕旨意：颁布保马法！
ID000427 善！
ID000428 你解锁了[GetMaA('majun').GetName][men_at_arms|E]。\n你解锁了[GetMaA('jingsaitieqi').GetName][men_at_arms|E]。
ID000429 地区测试（ai）
ID000430 招募奴兵（ai）
ID000431 招募奴兵（ai）
ID000432 补充奴兵（ai）
ID000433 奴兵
ID000434 仁者爱人（ai）
ID000435 仁者爱人（ai）
ID000436 蒙古军团
ID000437 成吉思汗火星兵（ai）
ID000438 成吉思汗火星兵（ai）
ID000439 统一女真诸部（ai）
ID000440 组建铁鹞子（ai）
ID000441 组建铁鹞子（ai）
ID000442 组建禁军（ai）
ID000443 组建禁军（ai）
ID000444 扩充弩手（ai）
ID000445 扩充陌刀手（ai）
ID000446 扩充牙兵（ai）
ID000447 训练铁浮图（ai）
ID000448 训练铁浮图（ai）
ID000449 扩充马军（ai）
ID000450 民怨沸腾（ai）
ID000451 群情激愤
ID000452 连年的战争与负债使我神经紧绷，终于，就在今天，我的护卫跌跌撞撞的冲进来告诉我：愤怒的民众正在举行集会，准备推翻我的统治！\n我待他们不薄，他们为什么要这么对我！\n这群该死的贱民！
ID000453 得赶紧想个法子安抚他们。
ID000454 我的话事人带来了消息，民众的怒火平息了，他们甚至捐赠了一批物资给我

