Chunk 6 sent to API:
ID000500 #F 神の前で誓い、武装蜂起を開始するために団結します#!
ID000501 蜂起は成功するだろう
ID000536 成吉思汗火星兵（ai）
ID000537 统一女真诸部（ai）
ID000538 组建铁鹞子（ai）
ID000539 组建铁鹞子（ai）
ID000540 组建禁军（ai）
ID000541 组建禁军（ai）
ID000542 扩充弩手（ai）
ID000543 扩充陌刀手（ai）
ID000544 扩充牙兵（ai）
ID000545 训练铁浮图（ai）
ID000546 训练铁浮图（ai）
ID000547 群情激愤
ID000548 连年的战争与负债使我神经紧绷，终于，就在今天，我的护卫跌跌撞撞的冲进来告诉我：愤怒的民众正在举行集会，准备推翻我的统治！\n我待他们不薄，他们为什么要这么对我！\n这群该死的贱民！
ID000549 得赶紧想个法子安抚他们。
ID000550 我的话事人带来了消息，民众的怒火平息了，他们甚至捐赠了一批物资给我
ID000551 我的演讲跟屎一样，我完了
ID000552 派出军队，让贱民们见识见识刀剑的威力！
ID000553 我的护卫们大步冲向人群，乱刀砍死了几个带头闹事的贱民
ID000554 贱民们的战斗力超乎我的想象，我完了
ID000555 随他们去吧。
ID000556 事情越来越脱离你的控制
ID000557 举行大阅兵
ID000558 我的军队需要我，我的人民需要我，我封臣需要我。\n我精心准备了一场大阅兵，这肯定能起到很大的作用。
ID000559 阅兵进展很顺利
ID000560 准备阅兵！
ID000561 开始吧！
ID000562 大阅兵
ID000563 阅兵现场人头攒动，各部门列好队形等待检阅。我准备了很多份演讲稿，只待阅兵结束就发表慰问词\n但是天色已晚，剩下的时间不多了，我应该先向谁致辞？
ID000564 先从我手下冲锋在前的勇士们开始
ID000565 我应该表现的更加亲近底层战士些
ID000566 没有我亲爱的封臣就没有我的今天！
ID000567 我最英勇的武士们齐声高呼万岁，即使隔了这么远我依旧能感受到他们的热情。
ID000568 亚空间恶魔
ID000569 恐虐放血鬼
ID000570 #F 崇奉恐虐的部落中充满了凶猛的放血鬼。他们是致命的战士，在血神的凡人信徒中有着崇高的地位。他们狂怒无比，渴望鲜血，正如恐虐降世一般。厮杀之时，他们会飞快地冲杀，将敌人次第斩作两截，之后迅速离去，再觅新敌。放血鬼每斩杀一个敌人，便会高呼一声，恐怖的吼声在修罗场上四处回荡，闻者无不心惊胆寒。#。
ID000571 色孽逐心者
ID000572 #F 逐心者醉心玩乐，残忍恶毒。他们最喜欢捉弄不幸的凡人，会将人弄得窘迫不堪，并跨越穷山恶水将其追杀。眼看就要得逞时，他们又会暂停追杀，让猎物重拾力量，并且给他们一丝逃生的希望。这种猎杀行动会持续数月甚至数年之久，逐心者会将凡人的精神与身体逼到崩溃的边缘。凡人只有在精神崩溃之后，才会屈服于他们，这样他们就可以停止狩猎，然后将凡人的灵魂带回混沌魔域。#。
ID000573 成为恐虐神选！
ID000574 血祭血神，颅献颅座！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID000575 血祭血神，颅献颅座！！！
ID000576 血祭血神，颅献颅座！！！
ID000577 成为色孽神选！
ID000578 享受无尽的欢愉吧！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID000579 享受无尽的欢愉吧！！！
ID000580 享受无尽的欢愉吧！！！
ID000581 征召牧民参战
ID000582 #F 我的土地上牧民众多，如果有必要的话，他们可以迅速转化为骑马战士.\n现在，我需要动员一切可用之兵#!
ID000583 应召而来的[GetMaA('caoyuanyoumumin_shijian').GetName]的数量和费用根据你的[realm_size|E]、[martial_skill|E]和#V $当前总兵力$#!决定。
ID000584 为了草原的荣耀！
ID000585 吹响号角！
ID000586 组建瓦兰吉卫队(ai)
ID000587 组建瓦兰吉卫队(ai)
ID000588 组建瓦兰吉卫队(ai)
ID000589 组建瓦兰吉卫队
ID000590 #F 北欧人和罗斯人的战斗力世人有目共睹，如果能以重金将他们召至我的麾下，打造一支步战强军将不是问题#!
ID000591 我的忠诚的战士们在哪里？！
ID000592 将有一批瓦兰吉战士慕名而来......\n你的名声在北方人的圈子里大肆传播开来，接下来的20年内都将有[GetMaA('walanjiweidui').GetName][men_at_arms|E]可供你差遣。
ID000593 我需要组建一支强大并且忠诚的禁卫军！
ID000594 我的信使告诉我：北方战士们很快就到！
ID000595 瓦兰吉战士到来
ID000596 一艘又一艘形态各异的长船停靠于港口内，剽悍的北方战士鱼贯而出，他们身上的锁子甲在阳光下折射出血污死寂般的铁黑色，我不敢相信自己的眼睛，这些强大的战士即将为我所用！\n\n我挺挺胸膛，努力摆出一位王者应有的姿态。我试图从他们深凹的眼眶里找出一丝畏惧——对于一位正站在他们面前的活生生的皇帝的畏惧。\n\n这些北方人丝毫不避讳我的目光，就这么直勾勾的与我对视。\n\n天哪！这些人的目光真让人头皮发麻......
ID000597 多么无畏而强大的战士啊......
ID000598 雇佣兵屠城
ID000599 一群疯狂的佣兵洗劫了[county.GetNameNoTierNoTooltip]，他们夺走了当地的一切，没留一个活口......\n很显然，这群佣兵并不满足于我给的酬金

