Chunk 2 sent to API:
ID000 安闲自得
ID064 瘊子甲
ID065 羌人善锻甲，凡锻甲之法，其始甚厚，不用火，冷锻之，比元厚三分减二乃成。其末留箸头许不锻，隐然如瘊子，欲以验未锻时厚薄，如浚河留土笋也，谓之“瘊子甲”。强弩射之，不能入.
ID066 横山羌
ID067 广泛存在于西北山区的羌人部族，以卓绝的越野能力纵横于群山之间。
ID068 党项马
ID069 党项族居住的地斤泽、横山、天都山一带都是著名产马地区。马多而品种优良，唐代诗人元稹有“北买党项马，西擒吐蕃鹦”之句。宋人更是称誉党项马为天下之最。
ID070 冷锻钢
ID071 党项人的锻钢技术超绝于世，世人以得到一把夏国剑为无上荣光。宋钦宗本人随身佩带的宝剑就是‘夏国剑’。苏东坡曾得到一把西夏剑，作诗云：‘红妆拥坐花照酒，青萍拔鞘堂生风。螺旋铓锷波起脊，白蛟双挟三蛟龙。试人一缕立褫魄，戏客三招森动容。’。
ID072 浪人
ID073 为恢复昔日的权威而疯狂冒险，以天皇亲兵自居，到处以
ID074 神臂弓
ID075 神臂弓一人可开,最大射程达四百米,能贯重甲。
ID076 马政废弛
ID077 上层统治者的忽视加上下层官员的错误施政已经让中原马政陷入了积重难返的困境。
ID078 保马法
ID079 中原无马可用的局面正式扭转，强有效的马政政策施行了起来，如果整套体系运转良好的话将泽披万世。
ID080 商业民族
ID081 粟特人通过漫长的丝绸之路频繁往来于中亚与中国之间，从中世纪东西方贸易中攫取了大量财富。
ID082 和弓
ID083 日本弓道所使用的一类长弓。标准的和弓长度约为七尺三寸。
ID084 薙刀
ID085 薙刀是古代日本使用的一种长柄兵器，其刀幅较宽，刀刃部分有很大弧度。
ID086 占城稻
ID087 出产于中南半岛的高产、早熟、耐旱的稻种，造福甚广。
ID088 引进占城稻
ID089 引进出产于中南半岛高产、早熟、耐旱的占城稻，造福天下百姓。
ID090 地大物博
ID091 生吾炎黄，育我华夏。待之有为，必报中华。
ID092 河朔轻骑
ID093 自古燕地多武人，又处边塞，马匹贸易颇多，长期胡汉交杂下，良家子人人得骑。
ID094 西南马
ID095 西南马性情灵敏而温驯，善于爬山，适于山地驮运，为高原山地的重要运输工具。
ID096 百保鲜卑骑
ID097 燕云十八骑
ID098 西凉铁骑
ID099 翁牛特
ID100 兀良哈
ID101 乌济业特
ID102 怯薛军
ID103 拐子马
ID104 拐子马
ID105 铁浮图
ID106 铁浮图
ID107 虎步卫
ID108 铁鹞子
ID109 铁鹞子
ID110 铁鹞子
ID111 铁鹞子
ID112 横山步跋子
ID113 横山步跋子
ID114 横山步跋子
ID115 横山步跋子
ID116 党项武士
ID117 党项武士
ID118 党项武士
ID119 御围内六班具装直
ID120 劲弩士
ID121 蒙古重骑兵
ID122 蒙古重骑兵
ID123 忙古歹
ID124 神臂弓手
ID125 秦地悍卒
ID126 白毦兵
ID127 归义老兵
ID128 安西军
ID129 抬头见日，却不见长安。
ID130 牙兵
ID131 良家子牙兵
ID132 牙兵
ID133 牙兵
ID134 牙兵
ID135 马军
ID136 马军
ID137 马军
ID138 朴刀手
ID139 刀牌手
ID140 河朔轻骑
ID141 白马义从
ID142 步人甲
ID143 静塞铁骑
ID144 背嵬重骑兵
ID145 浪人
ID146 僧兵
ID147 连弩士
ID148 连弩士
ID149 丛林猎手
ID150 银枪效节都
ID151 鸦儿军
ID152 契丹武士
ID153 粟特牙兵
ID154 女真征服（ai）
ID155 大金
ID156 统一女真诸部
ID157 氏族首领们聚拢在我身边，铁浮图，拐子马，所有强者都为我的大业欢呼。\n\n战士们向我致意，让我们冲出森林，将世界牢牢纂于掌中。
ID158 我的征服自此而始。
ID159 统一女真诸部
ID160 全军整备！
ID161 统一女真诸部准备征服世界
ID162 女真大军
ID163 女真征服战争（一阶段）
ID164 女真征服战争
ID165 女真征服战争（二阶段）
ID166 女真征服战争（三阶段）
ID167 交出你的土地！
ID168 你腐朽的统治是时候结束了，我，[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]，给你三天时间交出你的地盘，否则后果自负！
ID169 我的大人，我愿意放弃我的土地并臣服于您......
ID170 臣服于[nvzhenzhengfuzhe.GetTitledFirstName]
ID171 与[nvzhenzhengfuzhe.GetTitledFirstName]开战
ID172 向[demand_recipient.GetTitledFirstName]开战
ID173 滚！
ID174 致愚蠢的[nvzhenzhengfuzhe.GetFirstName]
ID175 收回你的威胁！愚蠢的[nvzhenzhengfuzhe.GetFirstName]！\n\n你的威胁比三岁小孩还无力，你以为你是谁？你这妄想染指我的领土的猪猡。
ID176 狗东西，我要把你碾的连渣都不剩！
ID177 征服伊始
ID178 我和我的族人们被召集于[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]帐前，女真人的每一个氏族首领和封臣都汇聚于此。我们都知道为何，并在烟雾缭绕的穹庐内进行了整夜的商议，其间没有产生任何怀疑。\n\n[nvzhenzhengfuzhe.GetFirstName]高声呼喊着祖先的姓名，他走过每一位女真战士的面前并与之亲切交流，我能感受到战士们的热血在沸腾。\n\n从现在开始，世界将在征服者[nvzhenzhengfuzhe.GetFirstName]脚下颤抖!
ID179 为了女真人的荣耀！为了[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]！
ID180 你击退了[attacker.GetShortUIName|U]，但下一次呢......
ID181 玩家增加地产格子
ID182 撞令郎
ID183 准备出发！
ID184 行动很顺利
ID185 又到迫害异族的时候了
ID186 撞令郎
ID187 从丝路贸易中攫取利润
ID188 金钱就是正义！
ID189 金钱就是正义！
ID190 你赚了笔大的
ID191 组建银枪效节都
ID192 我意已决！
ID193 组建很成功
ID194 组建银枪效节都
ID195 组建鸦儿军（ai）小规模
ID196 组建鸦儿军（ai）大规模
ID197 组建鸦儿军
ID198 我意已决！
ID199 组建很成功
ID200 组建鸦儿军
ID201 鸦儿军
ID202 藩镇兵（ai）小规模
ID203 藩镇兵（ai）大规模
ID204 扩充牙兵
ID205 我意已决！
ID206 你感觉倍有面子
ID207 我需要一支可靠的私人卫队
ID208 藩帅卫队
ID209 发动一揆（ai）
ID210 发动一揆
ID211 蜂起は成功するだろう
ID212 僧侶や兵士を動員する
ID213 僧侶の連隊が武装している
ID214 组建羽林军
ID215 天命在此！
ID216 天下请伏
ID217 盛世当用强兵，组建羽林军！
ID218 组建羽林军
ID219 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID220 我的威名将传遍四海。
ID221 组建龙武军
ID222 天命在此！
ID223 天下请伏
ID224 盛世当用强兵，组建龙武军！
ID225 组建龙武军
ID226 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID227 我的威名将传遍四海。
ID228 龙武军
ID229 振兴马政（ai）
ID230 振兴马政
ID231 推行保马法，泽披后世！
ID232 推行保马法......
ID233 颁布保马法，泽披后世！
ID234 颁布保马法！
ID235 规定河北、河东、陕西、京东、西五路及开封府界诸县保甲养马，户一匹，物力高而自愿者二匹，给以官马，或官给钱自买。养马户可减免部分赋税。三等以上户十户为一保，四等以下户十户为一社。保户马病死，由养马户单独赔偿；社户马病死，由养马户与其他九户共偿其半。\n\n传朕旨意：颁布保马法！
ID236 善！
ID237 你解锁了[GetMaA('majun').GetName][men_at_arms|E]。\n你解锁了[GetMaA('jingsaitieqi').GetName][men_at_arms|E]。
ID238 地区测试（ai）
ID239 招募奴兵（ai）
ID240 招募奴兵（ai）
ID241 补充奴兵（ai）
ID242 奴兵
ID243 仁者爱人（ai）
ID244 仁者爱人（ai）
ID245 蒙古军团
ID246 成吉思汗火星兵（ai）
ID247 成吉思汗火星兵（ai）
ID248 统一女真诸部（ai）
ID249 组建铁鹞子（ai）
ID250 组建铁鹞子（ai）
ID251 组建禁军（ai）
ID252 组建禁军（ai）
ID253 扩充弩手（ai）
ID254 扩充陌刀手（ai）
ID255 扩充牙兵（ai）
ID256 训练铁浮图（ai）
ID257 训练铁浮图（ai）
ID258 扩充马军（ai）
ID259 民怨沸腾（ai）
ID260 群情激愤
ID261 连年的战争与负债使我神经紧绷，终于，就在今天，我的护卫跌跌撞撞的冲进来告诉我：愤怒的民众正在举行集会，准备推翻我的统治！\n我待他们不薄，他们为什么要这么对我！\n这群该死的贱民！
ID262 得赶紧想个法子安抚他们。
ID263 我的话事人带来了消息，民众的怒火平息了，他们甚至捐赠了一批物资给我

